Gene ID,Entrez Gene ID,Gene Symbol,Gene Name,Organism,Unigene ID,Ensembl ID,UniProt ID,Alias,Lifespan Effect,Phenotype Description,Longevity Influence,Max Lifespan Change,Avg Lifespan Change,Method,Bibliographic reference
2,185079,aat-8,Amino Acid Transporter,Caenorhabditis elegans,Cel.13054,F28F9.4,,,increase,RNA interference increased mean lifespan by 30%.,anti,,30,RNA interference,"2233: Kim and Sun (2007) ""Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan.""  Aging Cell 6(4):489-503 (17608836)"
657,183860,abcx-1,"ABC transporter, eXtended",Caenorhabditis elegans,Cel.24987,C56E6.1,,,increase,RNA interference in adulthood extended mean lifespan by 16%.,anti,,16,RNA interference,"2246: Chen et al. (2007) ""Longevity determined by developmental arrest genes in Caenorhabditis elegans.""  Aging Cell 6(4):525-533 (17521386)"
3,173404,abu-11,Activated in Blocked Unfolded protein response,Caenorhabditis elegans,Cel.14499,T01D1.6,,,increase,Overexpression extends mean lifespan by 9% to 28%.,pro,,28,Overexpression,"2234: Viswanathan et al. (2005) ""A role for SIR-2.1 regulation of ER stress response genes in determining C. elegans life span.""  Dev. Cell 9(5):605-615 (16256736)"
300,177654,acdh-13,Acyl CoA DeHydrogenase,Caenorhabditis elegans,Cel.7888,C28C12.9,,,increase,RNA interference increased mean lifespan by 57%.,anti,,57,RNA interference,"2233: Kim and Sun (2007) ""Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan.""  Aging Cell 6(4):489-503 (17608836)"
884,181706,ace-1,abnormal ACEtylcholinesterase,Caenorhabditis elegans,,W09B12.1,,,increase,8% mean lifespan extension,anti,,8,RNA interference,"2418: Xue et al. (2007) ""A modular network model of aging.""  Mol. Syst. Biol. 3:147 (18059442)"
4,185044,acl-11,ACyLtransferase-like,Caenorhabditis elegans,Cel.24997,F28B3.9,,,increase,RNA interference leads to lifespan extension.,anti,,,RNA interference,"2235: Lee et al. (2003) ""A systematic RNAi screen identifies a critical role for mitochondria in C. elegans longevity.""  Nat. Genet. 33(1):40-48 (12447374)"
2101,180780,acn-1,Inactive angiotensin-converting enzyme-related protein,Caenorhabditis elegans,,,,,increase,"When acn-1, a worm homologue of ACE, was downregulated mean lifespan was increased 21% and maximum lifespan increased 18%. Similar results were shown when acn-1 was downregulated from adulthood. In addition, lifespan was increased at higher temperatures, age-related degenerative changes were delayed and stress resistance was increased.",anti,18,21,RNA interference,"4404: Kumar et al. (2016) ""Angiotensin Converting Enzyme (ACE) Inhibitor Extends Caenorhabditis elegans Life Span.""  PLoS Genet. 12(2):e1005866 (26918946)"
5,176121,aco-2,ACOnitase,Caenorhabditis elegans,Cel.17858,F54H12.1,,,increase,RNA interference leads to lifespan extension.,anti,,,RNA interference,"2236: Hamilton et al. (2005) ""A systematic RNAi screen for longevity genes in C. elegans.""  Genes Dev. 19(13):1544-1555 (15998808)"
5,176121,aco-2,ACOnitase,Caenorhabditis elegans,Cel.17858,F54H12.1,,,increase,30% mean lifespan extension in daf2 background; no lifespan measurement in wt background,anti,,,RNA interference,"2268: Dong et al. (2007) ""Quantitative mass spectrometry identifies insulin signaling targets in C. elegans.""  Science 317(5838):660-663 (17673661)"
5,176121,aco-2,ACOnitase,Caenorhabditis elegans,Cel.17858,F54H12.1,,,increase,RNA interference of aco-2 results in an increased lifespan.,anti,,20.5,RNA interference,"3567: Reis-Rodrigues et al. (2012) ""Proteomic analysis of age-dependent changes in protein solubility identifies genes that modulate lifespan.""  Aging Cell 11(1):120-127 (22103665)"
245,178190,acs-20,Protein ACS-20,Caenorhabditis elegans,Cel.5847,F28D1.9,,,decrease,RNA interference decreased median lifespan by 50% in wild type animals and 70% in daf-2 mutants.,pro,,50,RNA interference,"2239: Samuelson et al. (2007) ""Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants.""  Genes Dev. 21(22):2976-2994 (18006689)"
2051,176005,acs-4,fatty Acid CoA Synthetase family,Caenorhabditis elegans,5646,,,,increase,RNA interference of acs-4 results in an increased lifespan.,anti,,6.1,RNA interference,"3567: Reis-Rodrigues et al. (2012) ""Proteomic analysis of age-dependent changes in protein solubility identifies genes that modulate lifespan.""  Aging Cell 11(1):120-127 (22103665)"
772,176785,acs-5,fatty Acid CoA Synthetase family,Caenorhabditis elegans,Cel.33,Y76A2B.3,,,increase,RNA interference increased mean lifespan by 52%.,anti,,52,RNA interference,"2233: Kim and Sun (2007) ""Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan.""  Aging Cell 6(4):489-503 (17608836)"
901,174472,acs-7,hypothetical protein,Caenorhabditis elegans,,C01G6.7,,,increase,20% mean lifespan extension,anti,,20,RNA interference post development,"2421: Oliveira et al. (2009) ""Condition-adapted stress and longevity gene regulation by Caenorhabditis elegans SKN-1/Nrf.""  Aging Cell 8(5):524-541 (19575768)"
885,172542,adr-1,Adenosine Deaminase that acts on RNA,Caenorhabditis elegans,,H15N14.1,,,decrease,Median lifespan reduced by 50%.,pro,,50,RNA interference post development,"2548: Sebastiani et al. (2009) ""RNA editing genes associated with extreme old age in humans and with lifespan in C. elegans.""  PLoS ONE 4(12):e8210 (20011587)"
886,176022,adr-2,Adenosine Deaminase that acts on RNA,Caenorhabditis elegans,,T20H4.4,,,decrease,Median lifespan reduced by 50%.,pro,,50,RNA interference post development,"2548: Sebastiani et al. (2009) ""RNA editing genes associated with extreme old age in humans and with lifespan in C. elegans.""  PLoS ONE 4(12):e8210 (20011587)"
7,174762,age-1,"AGEing alteration AGE-1, abnormal DAuer Formation DAF-23",Caenorhabditis elegans,Cel.18292,B0334.8,,,increase,Knockout mutants have a 40-65% increase in mean lifespan and a 65-110% increase in maximum lifespan.,anti,110,65,Knockout,"2237: Friedman and Johnson (1988) ""A mutation in the age-1 gene in Caenorhabditis elegans lengthens life and reduces hermaphrodite fertility.""  Genetics 118(1):75-86 (8608934)"
7,174762,age-1,"AGEing alteration AGE-1, abnormal DAuer Formation DAF-23",Caenorhabditis elegans,Cel.18292,B0334.8,,,increase,"C. elegans strains bearing homozygous nonsense mutations in the age-1 gene, which encodes the class-I phosphatidylinositol 3-kinase catalytic subunit (PI3KCS), produce progeny that were thought to undergo obligatory developmental arrest. After prolonged developmental times at 15 - 20 C, they mature into extremely long-lived adults with near-normal feeding rates and motility. They survive to a median of 145-190 days at 20 C, with nearly 10-fold extension of both median and maximum adult lifespan relative to N2DRM, a long-lived wild-type stock into which the null mutant was outcrossed. PI3K-null adults, although a little less thermotolerant, are considerably more resistant to oxidative and electrophilic stresses than worms bearing normal or less long-lived alleles. Their unprecedented factorial gains in survival, under both normal and toxic environments, are attributed to elimination of residual and maternally-contributed PI3KCS or its products, and consequent modification of kinase signaling cascades.",anti,1000,1000,Mutation,"2482: Ayyadevara et al. (2008) ""Remarkable longevity and stress resistance of nematode PI3K-null mutants.""  Aging Cell 7(1):13-22 (17996009)"
7,174762,age-1,"AGEing alteration AGE-1, abnormal DAuer Formation DAF-23",Caenorhabditis elegans,Cel.18292,B0334.8,,,increase,170% mean lifespan extension,anti,,170,RNA interference,"2236: Hamilton et al. (2005) ""A systematic RNAi screen for longevity genes in C. elegans.""  Genes Dev. 19(13):1544-1555 (15998808)"
7,174762,age-1,"AGEing alteration AGE-1, abnormal DAuer Formation DAF-23",Caenorhabditis elegans,Cel.18292,B0334.8,,,increase,65 % increase in mean lifespan and a 110 % increase in maximum lifespan at 25 degrees. age-1 mutant hermaphrodites show a 50% slower rate of mortality acceleration than wild-type.,anti,110,65,Mutation,"2483: Johnson (1990) ""Increased life-span of age-1 mutants in Caenorhabditis elegans and lower Gompertz rate of aging.""  Science 249(4971):908-912 (2392681)"
7,174762,age-1,"AGEing alteration AGE-1, abnormal DAuer Formation DAF-23",Caenorhabditis elegans,Cel.18292,B0334.8,,,increase,Mutants presented a double adult lifespan.,anti,,100,Mutation,"2275: Larsen et al. (1995) ""Genes that regulate both development and longevity in Caenorhabditis elegans.""  Genetics 139(4):1567-1583 (7789761)"
43,176695,agmo-1,Protein AGMO-1,Caenorhabditis elegans,Cel.19986,BE10.2,,,decrease,RNA interference decreased median lifespan by 30% in wild type animals and 60% in daf-2 mutants.,pro,,30,RNA interference,"2239: Samuelson et al. (2007) ""Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants.""  Genes Dev. 21(22):2976-2994 (18006689)"
1826,172889,aha-1,Protein AHA-1,Caenorhabditis elegans,,,,,decrease,"Several of the RNAi candidates (dve-1; lin-40; nhr-49; ceh-20; lin-11; and nhr-77) appeared to non-discriminately shorten lifespan in all strains tested, suggesting that the corresponding transcription factors are broadly required for survival. Interestingly, four RNAi clones (ZC123.3; nhr-119; ceh-37; and aha-1) affected wild-type and isp-1;ctb-1 mutant worms' lifespan to the same extent but exerted only a moderate or no effect on daf-16 and age-1 mutant longevity.",pro,,10,RNA interference,"3265: Walter et al. (2011) ""The homeobox protein CEH-23 mediates prolonged longevity in response to impaired mitochondrial electron transport chain in C. elegans.""  PLoS Biol. 9(6):e1001084 (21713031)"
9,181719,ain-1,ALG-1 INteracting protein,Caenorhabditis elegans,Cel.6838,C06G1.4,,,decrease,"RNA interference decreased median lifespan by 10% in wild type animals, 20% in a daf-2 background and 44% in daf-2/daf-16 double mutants.",pro,,10,RNA interference,"2239: Samuelson et al. (2007) ""Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants.""  Genes Dev. 21(22):2976-2994 (18006689)"
887,179898,aip-1,Arsenite Inducible Protein,Caenorhabditis elegans,,F58E10.4,,,decrease,RNAi led to 30% decrease in mean lifespan,pro,,50,RNA interference,"2419: Yun et al. (2008) ""Proteasomal adaptation to environmental stress links resistance to proteotoxicity with longevity in Caenorhabditis elegans.""  Proc. Natl. Acad. Sci. U.S.A. 105(19):7094-7099 (18467495)"
10,179424,akt-1,AKT kinase family,Caenorhabditis elegans,Cel.5036,C12D8.10,,,increase,RNA interference leads to lifespan extension.,anti,,,RNA interference,"2236: Hamilton et al. (2005) ""A systematic RNAi screen for longevity genes in C. elegans.""  Genes Dev. 19(13):1544-1555 (15998808)"
10,179424,akt-1,AKT kinase family,Caenorhabditis elegans,Cel.5036,C12D8.10,,,increase,Knockdown of akt-1 increased lifespan.,anti,,,RNA interference,"3259: Nojima et al. (2013) ""Haploinsufficiency of akt1 prolongs the lifespan of mice.""  PLoS ONE 8(7):e69178 (23935948)"
11,173468,alg-2,Argonaute (plant)-Like Gene,Caenorhabditis elegans,Cel.22639,T07D3.7,,,decrease,RNA interference decreased median lifespan by 24% in wild type animals and 50% in a daf-2 background.,pro,,24,RNA interference,"2239: Samuelson et al. (2007) ""Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants.""  Genes Dev. 21(22):2976-2994 (18006689)"
1977,173510,alh-6,ALdehyde deHydrogenase,Caenorhabditis elegans,7988,,,,decrease,"RNA interference or mutations in ALH-6 results in a shortened lifespan by up to 40%. This effect is however diet-specific and can be observed when animals are raised on the standard laboratory E. coli OP50 diet or when fed BL21, but not when fed HT115 or HMS174 (with an intermediate effect on a HB101 diet). The observed progeroid phenotype does not seem to be due to general sickness or developmental defects, and other signs of premature ageing are observed (reproductive decline, smaller total brood, lipofuscin accumulation, pharyngeal muscle degeneration, decrease in pharyngeal pumping and movement).",pro,,40,Mutation,"3480: Pang and Curran (2014) ""Adaptive capacity to bacterial diet modulates aging in C. elegans.""  Cell Metab. 19(2):221-231 (24440036)"
1977,173510,alh-6,ALdehyde deHydrogenase,Caenorhabditis elegans,7988,,,,increase,"Transgenic overexpression of ALH-6 extends lifespan in worms fed a standard E. coli OP50 diet, but not when fed HT115. A diet-dependent effect can also be seen when ALH-6 is inpaired through mutations, suggesting that ALH-6 offers an adaptive response promoting survival on particular diets.",pro,20,20,Overexpression,"3480: Pang and Curran (2014) ""Adaptive capacity to bacterial diet modulates aging in C. elegans.""  Cell Metab. 19(2):221-231 (24440036)"
12,186047,amt-2,AMmonium Transporter homolog,Caenorhabditis elegans,Cel.2458,F49E11.3,,,increase,RNA interference increased mean lifespan by 20%.,anti,,20,RNA interference,"2233: Kim and Sun (2007) ""Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan.""  Aging Cell 6(4):489-503 (17608836)"
666,176773,ant-1.1,Adenine Nucleotide Translocator,Caenorhabditis elegans,Cel.17955,T27E9.1,,,increase,RNA interference increased mean lifespan by 40%.,anti,,40,RNA interference,"2233: Kim and Sun (2007) ""Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan.""  Aging Cell 6(4):489-503 (17608836)"
2093,180783,apl-1,Beta-amyloid-like protein,Caenorhabditis elegans,,,,,increase,"Apl-1 expression was induced in adult worms via heat shock. A single induction in day one adults mildly increased lifespan (5%) whereas regular apl-1 expression robustly increased lifespan (12-30%). Tissue specific expression had differing effects, neuron specific expression resulted in a decrease in lifespan whereas hypodermis specific expression resulted in lifespan extension.",pro,,30,Overexpression,"4396: Ewald et al. (2016) ""Alzheimer-related protein APL-1 modulates lifespan through heterochronic gene regulation in Caenorhabditis elegans.""  Aging Cell (27557896)"
1770,178989,aps-1,Protein APS-1,Caenorhabditis elegans,,,,,increase,Post-developmental RNAi of aps-1 extends lifespan of wild type worms.,anti,0,7.9,Post-developmental RNA interference,"3241: Tacutu et al. (2012) ""Prediction of C. elegans longevity genes by human and worm longevity networks.""  PLoS ONE 7(10):e48282 (23144747)"
888,171691,aps-3,"daPtin, Small chain (clathrin associated complex)",Caenorhabditis elegans,,Y48G8AL.14,,,increase,Extended mean life span (20-40% in different backgrounds) .,anti,,40,RNA interference post development,"2239: Samuelson et al. (2007) ""Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants.""  Genes Dev. 21(22):2976-2994 (18006689)"
889,181019,apy-1,APYrase,Caenorhabditis elegans,,F08C6.6,,,decrease,"Some of the apy-1 (RNAi) phenotypes are suggestive of premature aging, since these animals also showed accumulation of lipofuscin and reduced  maximal lifespan (by 30%)",pro,30,,RNA interference post development,"2420: Uccelletti et al. (2008) ""APY-1, a novel Caenorhabditis elegans apyrase involved in unfolded protein response signalling and stress responses.""  Mol. Biol. Cell 19(4):1337-1345 (18216284)"
890,191609,arf-1.1,ADP-Ribosylation Factor related,Caenorhabditis elegans,,F45E4.1,,,increase,10% mean lifespan extension,anti,,10,RNA interference post development,"2421: Oliveira et al. (2009) ""Condition-adapted stress and longevity gene regulation by Caenorhabditis elegans SKN-1/Nrf.""  Aging Cell 8(5):524-541 (19575768)"
2107,180080,argk-1,ARGinine Kinase,Caenorhabditis elegans,,,,,increase,Worms overexpressing argk-1 lived up to 25% longer at  25 and 20 degrees Celsius when compared tp the wild type. Argk-1 was found to be required for the reduced body size and increased stress resistance observed in rsks-1/S6K mutants.,pro,,25,Overexpression,"4408: McQuary et al. (2016) ""C. elegans S6K Mutants Require a Creatine-Kinase-like Effector for Lifespan Extension.""  Cell Rep 14(9):2059-2067 (26923601)"
14,178405,arl-8,ARF-Like,Caenorhabditis elegans,Cel.6950,Y57G11C.13,,,decrease,RNA interference decreased median lifespan by 35% in a daf-2 background and 9% in daf-2/daf-16 double mutants.,pro,,,RNA interference,"2239: Samuelson et al. (2007) ""Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants.""  Genes Dev. 21(22):2976-2994 (18006689)"
891,180446,arr-1,ARRestin family,Caenorhabditis elegans,,F53H8.2,,,increase,Mean lifespan was increased by 35% and maximal lifespan by 27%.,anti,27,35,Mutations,"2422: Palmitessa and Benovic (2010) ""Arrestin and the multi-PDZ domain-containing protein MPZ-1 interact with phosphatase and tensin homolog (PTEN) and regulate Caenorhabditis elegans longevity.""  J. Biol. Chem. 285(20):15187-15200 (20207731)"
16,175247,arx-4,ARp2/3 compleX component,Caenorhabditis elegans,Cel.6078,Y6D11A.2,,,decrease,RNA interference decreased median lifespan by 61% in a daf-2 background and 51% in daf-2/daf-16 double mutants.,pro,,,RNA interference,"2239: Samuelson et al. (2007) ""Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants.""  Genes Dev. 21(22):2976-2994 (18006689)"
1774,175605,asb-1,Protein ASB-1,Caenorhabditis elegans,,,,,increase,Post-developmental RNAi of asb-1 extends lifespan of wild type worms.,anti,0,6.4,Post-developmental RNA interference,"3241: Tacutu et al. (2012) ""Prediction of C. elegans longevity genes by human and worm longevity networks.""  PLoS ONE 7(10):e48282 (23144747)"
17,180718,asb-2,ATP Synthase B homolog,Caenorhabditis elegans,Cel.17624,F02E8.1,,,increase,RNA interference leads to lifespan extension.,anti,,,RNA interference,"2240: Hansen et al. (2005) ""New genes tied to endocrine, metabolic, and dietary regulation of lifespan from a Caenorhabditis elegans genomic RNAi screen.""  PLoS Genet. 1(1):119-128 (16103914)"
18,172673,asg-1,ATP Synthase G homolog,Caenorhabditis elegans,Cel.20532,K07A12.3,,,increase,RNA interference leads to lifespan extension.,anti,,,RNA interference,"2236: Hamilton et al. (2005) ""A systematic RNAi screen for longevity genes in C. elegans.""  Genes Dev. 19(13):1544-1555 (15998808)"
19,180956,asg-2,ATP synthase subunit,Caenorhabditis elegans,Cel.11144,C53B7.4,,,increase,Knockout mutations result in developmental arrest and increased lifespan.,anti,,,Knockout,"2241: Tsang et al. (2001) ""Mitochondrial respiratory chain deficiency in Caenorhabditis elegans results in developmental arrest and increased life span.""  J. Biol. Chem. 276(34):32240-32246 (11410594)"
892,174838,ash-2,"ASH histone methyltransferase complex subunit (Drosophila absent, small or homeotic discs)",Caenorhabditis elegans,,Y17G7B.2,,,increase,30% mean lifespan extension,anti,,30,RNA interference,"2423: Greer et al. (2010) ""Members of the H3K4 trimethylation complex regulate lifespan in a germline-dependent manner in C. elegans.""  Nature 466(7304):383-387 (20555324)"
892,174838,ash-2,"ASH histone methyltransferase complex subunit (Drosophila absent, small or homeotic discs)",Caenorhabditis elegans,,Y17G7B.2,,,increase,Ash-2 deficiency in the parental generation extend the lifespan of descendants up until thethird generation.,anti,,27,Mutation,"2544: Greer et al. (2011) ""Transgenerational epigenetic inheritance of longevity in Caenorhabditis elegans.""  Nature 479(7373):365-371 (22012258)"
20,176879,asm-3,Acid SphingoMyelinase,Caenorhabditis elegans,Cel.20210,W03G1.7,,,increase,RNA interference increased mean lifespan by 50%.,anti,,50,RNA interference,"2233: Kim and Sun (2007) ""Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan.""  Aging Cell 6(4):489-503 (17608836)"
2012,174590,atad-3,ATPase family AAA domain-containing protein 3,Caenorhabditis elegans,0.7679,,,,increase,"RNA interference of mics-1 results in mutants with enhanced longevity when compated to HT115 wild-type controls (mean lifespan is 29% higher). Mutants are however highly sensitive to stress, displaying significantly higher levels of reactive oxygen species.",anti,,29,RNA interference,"3561: Hoffmann et al. (2012) ""MICS-1 interacts with mitochondrial ATAD-3 and modulates lifespan in C. elegans.""  Exp. Gerontol. 47(3):270-275 (22245785)"
1879,181405,atf-6,ATF (cAMP-dependent transcription factor) family,Caenorhabditis elegans,0.5338,,,,increase,RNA interference of ATF-6 results in enhanced longevity (by ~18%).,anti,,18,RNA interference,"3503: Wang et al. (2015) ""miR-124/ATF-6, a novel lifespan extension pathway of Astragalus polysaccharide in Caenorhabditis elegans.""  J. Cell. Biochem. 116(2):242-251 (25186652)"
1938,179922,atfs-1,Activating Transcription Factor associated with Stress,Caenorhabditis elegans,0.17407,,,,decrease,Constitutive atfs-1 mutations shorten lifespan by up to 26%.,anti,,26,Overexpression,"3539: Bennett et al. (2014) ""Activation of the mitochondrial unfolded protein response does not predict longevity in Caenorhabditis elegans.""  Nat Commun 5:3483 (24662282)"
893,179246,atg-18,AuTophaGy (yeast Atg homolog),Caenorhabditis elegans,,F41E6.13,,,decrease,20% reduction in mean LS,pro,,20,RNA interference,"2387: Tóth et al. (2008) ""Longevity pathways converge on autophagy genes to regulate life span in Caenorhabditis elegans.""  Autophagy 4(3):330-338 (18219227)"
893,179246,atg-18,AuTophaGy (yeast Atg homolog),Caenorhabditis elegans,,F41E6.13,,,decrease,47% maximal lifespan reduction by postdevelopmental RNAi while RNAi fron the beginning of life had no effect.,anti,47,,RNA interference,"2424: Hashimoto et al. (2009) ""Lifespan extension by suppression of autophagy genes in Caenorhabditis elegans.""  Genes Cells 14(6):717-726 (19469880)"
894,176921,atg-3,AuTophaGy (yeast Atg homolog),Caenorhabditis elegans,,Y55F3AM.4,,,decrease,19% maximal lifespan reduction in wild type worms. 15% lifespan extension in the daf-2 mutant.,pro,19,,RNA interference,"2424: Hashimoto et al. (2009) ""Lifespan extension by suppression of autophagy genes in Caenorhabditis elegans.""  Genes Cells 14(6):717-726 (19469880)"
895,190777,atg-4.1,AuTophaGy (yeast Atg homolog),Caenorhabditis elegans,,Y87G2A.3,,,decrease,20% maximal lifespan reduction in wild type worms. 10% lifespan extension in the daf-2 mutant.,pro,20,,RNA interference,"2424: Hashimoto et al. (2009) ""Lifespan extension by suppression of autophagy genes in Caenorhabditis elegans.""  Genes Cells 14(6):717-726 (19469880)"
896,3565022,atg-4.2,AuTophaGy (yeast Atg homolog),Caenorhabditis elegans,,ZK792.8,,,decrease,7% (wild type) maximal lifespan reduction. 10%(daf-2 mutant) lifespan extension.,pro,7,,RNA interference,"2424: Hashimoto et al. (2009) ""Lifespan extension by suppression of autophagy genes in Caenorhabditis elegans.""  Genes Cells 14(6):717-726 (19469880)"
897,171735,atg-5,AuTophaGy (yeast Atg homolog),Caenorhabditis elegans,,Y71G12B.12,,,decrease,19%(wild type) maximal lifespan reduction. 26%(daf-2 mutant) lifespan extension.,pro,19,,RNA interference,"2424: Hashimoto et al. (2009) ""Lifespan extension by suppression of autophagy genes in Caenorhabditis elegans.""  Genes Cells 14(6):717-726 (19469880)"
23,178005,atg-7,AuTophaGy (yeast Atg homolog),Caenorhabditis elegans,,M7.5,Q21591_CAEEL,,,RNA interference shortened mean lifespan by 23% and maximum lifespan by 30% in a eat-2 mutant background but not in wild type animals.,pro,,,RNA interference,"2244: Jia and Levine (2007) ""Autophagy is required for dietary restriction-mediated life span extension in C. elegans.""  Autophagy 3(6):597-599 (17912023)"
23,178005,atg-7,AuTophaGy (yeast Atg homolog),Caenorhabditis elegans,,M7.5,Q21591_CAEEL,,increase,Post developmental RNAi resulted in a 10-15% maxumal lifespan extension compared to wild type. No lifespan extension by RNAi from the beginning of life.,anti,15,,RNA interference,"2424: Hashimoto et al. (2009) ""Lifespan extension by suppression of autophagy genes in Caenorhabditis elegans.""  Genes Cells 14(6):717-726 (19469880)"
898,178561,atg-9,AuTophaGy (yeast Atg homolog),Caenorhabditis elegans,,T22H9.2,,,decrease,35% mean lifespan reduction,pro,,35,RNA interference,"2387: Tóth et al. (2008) ""Longevity pathways converge on autophagy genes to regulate life span in Caenorhabditis elegans.""  Autophagy 4(3):330-338 (18219227)"
